protocolNumber,oldIrbNo,newIrbNo
08271,0305M47349,SITE00000016
150120,1508M77101,SITE00000106
2009NTUC092,STUDY00003863,SITE00000301
2009NTUC093,STUDY00003933,SITE00000309
2011CG161,1203M11541,SITE00000072
2012CG003,1208M19521,SITE00000048
2012CG011,1204M12821,SITE00000075
2012CG058,1207M16702,SITE00000002
2012CG099,1211M23641,SITE00000045
2013CG032,1402M47981,SITE00000145
2013CG095,1309M43941,SITE00000008
2013CG110,1404M49423,SITE00000149
2013CG111,1410M54561,SITE00000138
2013NTUC125,STUDY00003938,SITE00000311
2014CG042,1405M50681,SITE00000141
2014CG064,1410M54889,SITE00000038
2014CG067,1410M54605,SITE00000063
2014CG076,1502M64365,SITE00000079
2014CG089,1411M55161,SITE00000137
2014CG123,1509M78143,SITE00000113
2014CG129,1502M62901,SITE00000109
2014NTCG113,STUDY00003937,SITE00000310
2015CG012,1504M69281,SITE00000065
2015CG028,1512M81686,SITE00000090
2015CG046,1506M72925,SITE00000136
2015CG094,1603M85141,SITE00000049
2015CG096,1605M87462,SITE00000082
2015cg098,1510M79781,SITE00000073
2015CG151,1511M80181,SITE00000107
2015CG155,1511M80387,SITE00000129
2015CG175,1601M83121,SITE00000027
2015CG179,1601M82341,SITE00000074
2015CG195,1602M83781,SITE00000012
2015NTCG168,1603M85344,SITE00000151
2016CG020,1608M92221,SITE00000025
2016CG029,1610M98181,SITE00000006
2016CG084,1606M89961,SITE00000004
2016CG088,1607M90601,SITE00000015
2016CG095,1606M88341,SITE00000083
2016CG126,1610M98065,SITE00000152
2016CG135,STUDY00002646,SITE00000175
2016CG156,1612M03083,SITE00000088
2016Is065,1703M10921,SITE00000096
2016IS180,STUDY00000466,SITE00000104
2016NTUC128,1610M96781,SITE00000052
2016UC177,STUDY00000427,SITE00000148
2017CG026,STUDY00000186,SITE00000054
2017CG036,1702M08741,SITE00000021
2017CG048,STUDY00000194,SITE00000127
2017CG074,STUDY00000661,SITE00000061
2017CG088,STUDY00001017,SITE00000035
2017CG114,STUDY00001752,SITE00000026
2017CG139,STUDY00002494,SITE00000160
2017CG143,STUDY00001943,SITE00000030
2017CG147,STUDY00002501,SITE00000161
2017IS079,STUDY00001856,SITE00000017
2017IS090,STUDY00002270,SITE00000062
2017IS140,STUDY00002621,SITE00000173
2017LS096,STUDY00010928,SITE00000988
2017NTUC086,STUDY00002138,SITE00000094
2017UC122,STUDY00001575,SITE00000011
2018CG009,STUDY00002417,SITE00000140
2018CG049,STUDY00003568,SITE00000265
2018CG050,STUDY00003709,SITE00000282
2018CG063,STUDY00003471,SITE00000256
2018CG064,STUDY00003473,SITE00000257
2018CG078,STUDY00003635,SITE00000271
2018CG084,STUDY00003718,SITE00000284
2018CG089,STUDY00003824,SITE00000295
2018CG097,STUDY00003883,SITE00000304
2018CG118,STUDY00004158,SITE00000331
2018CG190,STUDY00007183,SITE00000602
2018CG195,STUDY00005445,SITE00000451
2018IS040,STUDY00003745,SITE00000286
2018IS055,STUDY00003853,SITE00000299
2018IS117,STUDY00004910,SITE00000397
2018IS127,STUDY00004778,SITE00000381
2018IS131,STUDY00005144,SITE00000423
2018IS151,STUDY00005132,SITE00000421
2018IS183,STUDY00005430,SITE00000449
2018NTCG014,STUDY00002913,SITE00000194
2018NTCG098,STUDY00004541,SITE00000361
2018NTCG109,STUDY00004806,SITE00000385
2018NTCG163,STUDY00005365,SITE00000445
2018NTIS113,STUDY00004352,SITE00000344
2018NTUC132,STUDY00004765,SITE00000379
2018NTUC134,STUDY00004641,SITE00000369
2018NTUC171,STUDY00005572,SITE00000459
2018UC031,STUDY00004387,SITE00000349
2018UC101,STUDY00004588,SITE00000365
2019CG038,STUDY00006237,SITE00000516
2019CG053,STUDY00006067,SITE00000500
2019CG055,STUDY00006358,SITE00000526
2019CG060,STUDY00006439,SITE00000534
2019CG103,STUDY00006560,SITE00000543
2019CG117,STUDY00006850,SITE00000576
2019CG130,STUDY00007000,SITE00000591
2019CG136,STUDY00010347,SITE00000918
2019CG138,STUDY00007530,SITE00000644
2019CG148,STUDY00009966,SITE00000878
2019CG159,STUDY00007666,SITE00000665
2019CG172,STUDY00007641,SITE00000660
2019CG178,STUDY00007934,SITE00000684
2019CG189,STUDY00007876,SITE00000680
2019CG218,STUDY00008473,SITE00000723
2019IS068,STUDY00007131,SITE00000598
2019IS085,STUDY00007285,SITE00000618
2019IS128,STUDY00008222,SITE00000708
2019IS142,STUDY00007571,SITE00000650
2019IS155,STUDY00007513,SITE00000643
2019IS156,STUDY00007592,SITE00000653
2019IS180,STUDY00009346,SITE00000810
2019LS229,STUDY00012923,SITE00001208
2019LS230,STUDY00010214,SITE00000905
2019NTCG067,STUDY00006361,SITE00000528
2019NTCG084,STUDY00006488,SITE00000537
2019NTCG190,STUDY00008469,SITE00000722
2019NTLS126,STUDY00017898,SITE00001813
2019NTUC152,STUDY00007686,SITE00000666
2019UC046,STUDY00006513,SITE00000541
2020CG005,STUDY00008569,SITE00000732
2020CG007,STUDY00008583,SITE00000735
2020CG051,STUDY00009277,SITE00000799
2020CG092,STUDY00010912,SITE00000986
2020CG105,STUDY00010346,SITE00000917
2020CG116,STUDY00010802,SITE00000967
2020CG131,STUDY00010751,SITE00000965
2020CG187,STUDY00011385,SITE00001038
2020CG233,STUDY00011960,SITE00001099
2020IS022,STUDY00009695,SITE00000849
2020IS025,STUDY00009935,SITE00000874
2020IS060,STUDY00009883,SITE00000869
2020IS061,STUDY00009937,SITE00000875
2020IS069,STUDY00011181,SITE00001014
2020IS097,STUDY00010440,SITE00000925
2020IS103,STUDY00010225,SITE00000907
2020IS117,STUDY00010689,SITE00000958
2020IS130,STUDY00011291,SITE00001027
2020IS145,STUDY00011453,SITE00001051
2020IS147,STUDY00011003,SITE00000994
2020IS152,STUDY00011954,SITE00001097
2020IS167,STUDY00011217,SITE00001019
2020IS170,STUDY00014206,SITE00001335
2020IS177,STUDY00011956,SITE00001098
2020IS178,STUDY00011977,SITE00001100
2020IS186,STUDY00011716,SITE00001075
2020IS237,STUDY00013550,SITE00001267
2020IS238,STUDY00012456,SITE00001150
2020IS243,STUDY00012934,SITE00001211
2020LS001,STUDY00010421,SITE00000923
2020LS052,STUDY00010326,SITE00000915
2020LS072,STUDY00012405,SITE00001142
2020LS114,STUDY00012524,SITE00001157
2020LS220,STUDY00012786,SITE00001192
2020UC049,STUDY00010299,SITE00000913
2020UC190,STUDY00011383,SITE00001037
2021CG011,STUDY00012110,SITE00001108
2021CG035,STUDY00016993,SITE00001705
2021CG038,STUDY00012652,SITE00001178
2021CG040,STUDY00012693,SITE00001183
2021CG054,STUDY00013015,SITE00001217
2021CG091,STUDY00013241,SITE00001240
2021CG107,STUDY00013407,SITE00001258
2021CG120,STUDY00013667,SITE00001279
2021CG137,STUDY00013898,SITE00001304
2021CG153,STUDY00014698,SITE00001413
2021CG156,STUDY00014319,SITE00001347
2021CG167,STUDY00014928,SITE00001440
